지역,위도,경도,지점번호
간성,38.38537,128.4745,517
강문,37.78579,128.92477,524
강현,38.14373,128.6026,521
광덕산,38.11619,127.43197,695
구룡령,37.87925,128.51447,498
궁촌,37.3247,129.26472,310
기린,37.95263,128.31862,557
감화,38.27219,127.42449,552
남산,37.79066,127.64289,588
남이섬,37.78978,127.52769,675
내면,37.77805,128.39728,559
대진,38.49235,128.42813,553
대화,37.54548,128.44108,597
도계,37.22379,129.09609,878
동송,38.14163,127.21965,874
마현,38.27275,127.5263,323
면온,37.56197,128.37762,660
문막,37.31339,127.80486,877
미시령,38.21439,128.43713,554
방산,38.22642,127.95329,587
봉평,37.61234,128.37725,525
부론,37.23162,127.74866,592
북산,38.03209,127.87694,586
북평,37.46356,128.6828,563
사내,38.07545,127.51941,519
사북,37.21963,128.82141,674
삼척,37.45003,129.16214,876
삽당령,37.57516,128.85147,497
상동,37.11663,128.77441,581
상서,38.23158,127.68573,322
서석,37.71701,128.18265,535
서화,38.2533,128.21,594
설악동,38.16705,128.51818,520
설악산,38.12107,128.46056,875
스키점프,37.66048,128.67959,879
신기,37.34661,129.08614,696
신남,37.95996,128.0742,585
신동,37.21108,128.64126,527
신림,37.23146,128.07993,582
안흥,37.46463,128.1551,583
양구,38.09799,127.98527,556
양양,38.08874,128.62954,670
양양영덕,38.00731,128.54069,593
양지,38.27264,127.27737,650
연곡,37.85155,128.81924,566
영월주천,37.27534,128.26942,562
오색,38.07699,128.49325,596
옥계,37.61345,129.02888,580
외촌,38.27717,127.2057,651
용평,37.64336,128.67045,318
원덕,37.14156,129.28585,529
원동,38.24379,127.81168,681
원주백운산,37.2557,127.9702,873
원통,38.1147,128.1963,321
임계,37.48323,128.84589,537
임남,38.2806,127.8647,682
주문진,37.89848,128.82139,523
진부,37.64794,128.56447,560
진부령,38.26414,128.37415,595
청일,37.58219,128.15275,561
청호,38.19091,128.5936,671
춘천신북,37.9546,127.7763,684
치악산,37.41554,128.05047,591
팔봉,37.68614,127.70066,558
평창,37.37748,128.39469,526
평화,38.21278,127.84468,680
하장,37.36684,128.9133,579
해안,38.26958,128.1211,518
향로봉,38.33104,128.31375,320
현내,38.54251,128.40191,661
화천,38.09638,127.70285,555
화촌,37.78712,127.9838,522
횡성,37.4876,127.97242,536
